MONTHS_AS_CUSTOMER,AGE,POLICY_STATE,POLICY_CSL,POLICY_DEDUCTIBLE,POLICY_ANNUAL_PREMIUM,UMBRELLA_LIMIT,INSURED_SEX,INSURED_EDUCATION_LEVEL,INSURED_OCCUPATION,INSURED_RELATIONSHIP,POLICY_TENURE_MONTHS,POLICY_BIND_YEAR,INCIDENT_TYPE,COLLISION_TYPE,INCIDENT_SEVERITY,AUTHORITIES_CONTACTED,INCIDENT_STATE,INCIDENT_CITY,INCIDENT_HOUR_OF_THE_DAY,NUMBER_OF_VEHICLES_INVOLVED,PROPERTY_DAMAGE,BODILY_INJURIES,WITNESSES,POLICE_REPORT_AVAILABLE,CAPITAL_GAINS,CAPITAL_LOSS,TOTAL_CLAIM_AMOUNT,INJURY_CLAIM,PROPERTY_CLAIM,VEHICLE_CLAIM,CLAIM_TO_PREMIUM_RATIO,AUTO_MAKE,AUTO_MODEL,AUTO_YEAR,VEHICLE_AGE,INCIDENT_YEAR,INCIDENT_MONTH,SEVERITY_SCORE,FRAUD_FLAG
70,26,OH,500/1000,1000,1199.44,5000000,MALE,College,machine-op-inspct,own-child,116,2005,Multi-vehicle Collision,Rear Collision,Major Damage,Other,NY,Riverwood,0,3,,1,2,YES,63600,0,52110,5790,5790,40530,43.45,Nissan,Maxima,2012,3,2015,2,3,0
140,31,IN,500/1000,500,708.64,6000000,MALE,High School,machine-op-inspct,unmarried,122,2004,Single Vehicle Collision,Side Collision,Total Loss,Police,WV,Northbend,9,1,NO,0,2,YES,53500,0,77880,14160,7080,56640,109.90,Suburu,Legacy,2015,0,2015,1,4,0
160,37,OH,500/1000,500,1374.22,0,FEMALE,MD,craft-repair,other-relative,1,2014,Single Vehicle Collision,Side Collision,Total Loss,Other,NY,Northbrook,19,1,YES,1,0,NO,45500,-37800,72930,6630,13260,53040,53.07,Accura,TL,2015,0,2015,1,4,0
196,39,IN,500/1000,2000,1475.73,0,FEMALE,High School,handlers-cleaners,own-child,270,1992,Multi-vehicle Collision,Side Collision,Major Damage,Police,VA,Columbus,8,3,,2,0,NO,57000,-27300,60400,6040,6040,48320,40.93,Nissan,Pathfinder,2014,1,2015,2,3,0
460,62,IN,250/500,1000,1187.96,4000000,MALE,JD,other-service,own-child,151,2002,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Columbus,20,3,NO,1,0,,0,0,47160,0,5240,41920,39.70,Suburu,Impreza,2011,4,2015,1,1,0
217,41,IL,500/1000,2000,875.15,0,FEMALE,Associate,machine-op-inspct,own-child,111,2005,Multi-vehicle Collision,Side Collision,Total Loss,Police,SC,Arlington,15,3,,1,2,,46700,0,37840,0,4730,33110,43.24,Accura,RSX,1996,19,2015,2,4,0
370,55,IL,100/300,2000,972.18,0,MALE,High School,prof-specialty,other-relative,248,1994,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,SC,Hillsdale,20,3,NO,0,0,YES,72700,-68200,71520,17880,5960,47680,73.57,Suburu,Forrestor,2000,15,2015,1,3,1
413,55,IN,100/300,2000,1268.79,0,MALE,MD,priv-house-serv,own-child,287,1991,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Northbend,15,1,,2,2,,0,-31000,98160,8180,16360,73620,77.37,Dodge,RAM,2011,4,2015,1,4,1
237,40,IN,100/300,1000,883.31,0,MALE,College,craft-repair,husband,228,1996,Single Vehicle Collision,Rear Collision,Minor Damage,Other,VA,Riverwood,6,1,NO,1,3,NO,0,-53500,77880,7080,14160,56640,88.17,Ford,Escape,2005,10,2015,2,1,0
8,35,OH,100/300,2000,1266.92,0,MALE,Masters,sales,own-child,13,2013,Multi-vehicle Collision,Rear Collision,Major Damage,Other,OH,Arlington,16,3,NO,1,3,YES,0,0,71500,16500,11000,44000,56.44,Ford,Escape,2006,9,2015,1,3,1
257,43,IN,100/300,2000,1322.10,0,MALE,High School,prof-specialty,own-child,292,1990,Parked Car,,Minor Damage,Police,PA,Arlington,4,1,YES,1,3,YES,0,-29200,9020,1640,820,6560,6.82,Toyota,Camry,2005,10,2015,1,1,0
202,34,IN,100/300,500,848.07,3000000,MALE,JD,exec-managerial,not-in-family,150,2002,Vehicle Theft,,Minor Damage,None,VA,Northbrook,5,1,YES,2,1,,31000,-30200,5720,1040,520,4160,6.74,Suburu,Forrestor,2003,12,2015,1,1,1
224,40,OH,100/300,2000,1291.70,0,FEMALE,JD,sales,not-in-family,299,1990,Single Vehicle Collision,Side Collision,Minor Damage,Other,SC,Northbend,21,1,NO,1,0,YES,0,-55600,69840,7760,15520,46560,54.07,Dodge,Neon,2009,6,2015,1,1,0
241,45,IL,500/1000,2000,1104.50,0,FEMALE,PhD,machine-op-inspct,unmarried,11,2014,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Northbrook,5,1,NO,2,2,NO,0,0,91650,14100,14100,63450,82.98,Accura,TL,2011,4,2015,2,1,0
64,25,IL,250/500,1000,954.16,0,MALE,Masters,prof-specialty,husband,179,2000,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,SC,Columbus,22,4,NO,0,0,,53200,0,75600,12600,12600,50400,79.23,Toyota,Corolla,2005,10,2015,1,3,0
166,37,IL,100/300,2000,1337.28,8000000,MALE,JD,craft-repair,husband,80,2008,Multi-vehicle Collision,Side Collision,Major Damage,Police,WV,Riverwood,10,3,NO,2,2,,27500,0,67140,7460,7460,52220,50.21,Ford,F150,2006,9,2015,2,3,1
155,35,IL,500/1000,1000,1088.34,0,FEMALE,Associate,adm-clerical,other-relative,138,2003,Multi-vehicle Collision,Front Collision,Total Loss,Police,NY,Arlington,16,3,YES,2,3,NO,81100,0,29790,3310,3310,23170,27.37,BMW,3 Series,2008,7,2015,2,4,0
114,30,IL,100/300,1000,1558.29,0,MALE,High School,farming-fishing,wife,273,1992,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NY,Hillsdale,1,3,NO,1,2,,51400,-64000,77110,14020,14020,49070,49.48,Suburu,Impreza,2015,0,2015,1,3,0
149,37,IL,500/1000,500,1415.68,0,MALE,PhD,prof-specialty,own-child,289,1991,Single Vehicle Collision,Side Collision,Total Loss,Fire,WV,Hillsdale,17,1,YES,0,1,YES,0,0,64800,10800,5400,48600,45.77,Audi,A3,1999,16,2015,2,4,0
147,33,OH,100/300,1000,1334.15,6000000,MALE,High School,craft-repair,not-in-family,53,2010,Single Vehicle Collision,Front Collision,Major Damage,Other,WV,Springfield,15,1,YES,2,0,YES,53300,-49200,53100,10620,5310,37170,39.80,Mercedes,C300,1995,20,2015,1,3,1
62,28,IL,100/300,1000,988.45,0,FEMALE,Masters,protective-serv,unmarried,142,2003,Single Vehicle Collision,Rear Collision,Total Loss,Police,NY,Northbrook,3,1,,1,1,YES,0,0,60200,6020,6020,48160,60.90,Suburu,Forrestor,2004,11,2015,1,4,1
289,49,IL,500/1000,2000,1222.48,0,FEMALE,JD,priv-house-serv,unmarried,263,1993,Parked Car,,Minor Damage,None,WV,Arlington,16,1,NO,1,1,YES,0,0,5330,1230,820,3280,4.36,Suburu,Legacy,2001,14,2015,1,1,0
431,54,IN,500/1000,2000,1155.55,0,FEMALE,MD,craft-repair,unmarried,146,2002,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NY,Hillsdale,4,3,,2,0,,65700,0,62300,12460,6230,43610,53.91,Jeep,Wrangler,2007,8,2015,1,3,0
199,37,IN,250/500,500,1262.08,0,MALE,JD,tech-support,wife,210,1997,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,NC,Columbus,4,1,,0,3,NO,48500,0,60170,10940,10940,38290,47.68,Nissan,Pathfinder,2011,4,2015,1,3,1
79,26,IL,100/300,500,1451.62,0,MALE,Associate,tech-support,not-in-family,236,1995,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,WV,Columbus,19,1,NO,2,2,,0,-55700,40000,8000,4000,28000,27.56,BMW,M5,2010,5,2015,1,1,0
116,34,IN,250/500,500,1737.66,0,MALE,Associate,transport-moving,unmarried,29,2012,Single Vehicle Collision,Side Collision,Major Damage,Police,WV,Northbrook,1,1,,1,1,,0,-24100,97080,16180,16180,64720,55.87,BMW,X5,2001,14,2015,1,3,1
37,23,IL,500/1000,500,1475.93,0,FEMALE,College,prof-specialty,husband,105,2006,Multi-vehicle Collision,Side Collision,Minor Damage,Other,SC,Springfield,17,3,YES,1,0,NO,0,-67400,51660,5740,5740,40180,35.00,Dodge,RAM,2010,5,2015,1,1,0
106,30,OH,250/500,500,538.17,0,FEMALE,PhD,transport-moving,own-child,142,2003,Single Vehicle Collision,Rear Collision,Total Loss,Other,NC,Arlington,23,1,NO,2,2,NO,49700,-60200,51120,5680,5680,39760,94.99,Mercedes,E400,2005,10,2015,2,4,0
269,44,IL,100/300,2000,1081.08,0,MALE,JD,priv-house-serv,unmarried,86,2007,Single Vehicle Collision,Front Collision,Minor Damage,Other,SC,Springfield,14,1,YES,0,2,,36400,-28700,56400,11280,11280,33840,52.17,Toyota,Highlander,2014,1,2015,2,1,0
265,40,IL,250/500,1000,1454.43,0,FEMALE,MD,protective-serv,husband,102,2006,Multi-vehicle Collision,Rear Collision,Total Loss,Other,NY,Arlington,17,3,NO,2,3,,0,0,55120,6890,0,48230,37.90,Accura,MDX,2002,13,2015,2,4,0
163,33,IN,100/300,500,1240.47,0,FEMALE,Associate,other-service,husband,301,1990,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,NC,Northbend,11,3,YES,1,1,,35300,0,77110,0,14020,63090,62.16,Honda,Civic,2014,1,2015,2,4,0
355,47,OH,500/1000,2000,1273.70,4000000,MALE,College,other-service,husband,298,1990,Multi-vehicle Collision,Front Collision,Major Damage,Fire,WV,Arlington,19,3,NO,2,1,NO,0,0,62800,6280,6280,50240,49.31,Audi,A3,2003,12,2015,1,3,1
175,34,IN,500/1000,1000,1123.87,8000000,FEMALE,PhD,protective-serv,other-relative,85,2008,Vehicle Theft,,Trivial Damage,Police,NY,Arlington,5,1,,2,0,YES,0,0,7290,810,810,5670,6.49,Volkswagen,Passat,1995,20,2015,2,2,0
192,35,IL,100/300,1000,1245.89,0,FEMALE,Masters,exec-managerial,wife,214,1997,Single Vehicle Collision,Rear Collision,Total Loss,Other,WV,Springfield,19,1,NO,0,0,,0,-40300,76600,15320,7660,53620,61.48,Mercedes,C300,2000,15,2015,1,4,0
430,59,OH,250/500,2000,1326.62,7000000,MALE,MD,other-service,own-child,132,2004,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Riverwood,19,3,,0,3,YES,0,0,81800,16360,8180,57260,61.66,Nissan,Pathfinder,1998,17,2015,1,1,0
91,27,IL,100/300,2000,1073.83,0,FEMALE,JD,farming-fishing,husband,245,1994,Vehicle Theft,,Trivial Damage,None,NY,Arlington,4,1,,1,2,,0,0,7260,1320,660,5280,6.76,BMW,M5,2008,7,2015,1,2,0
217,39,IN,100/300,1000,1530.52,0,MALE,College,armed-forces,not-in-family,152,2002,Vehicle Theft,,Minor Damage,None,WV,Northbend,8,1,,2,1,YES,0,0,4300,430,430,3440,2.81,Toyota,Corolla,2000,15,2015,2,1,0
223,40,IN,100/300,500,1201.41,0,FEMALE,JD,priv-house-serv,husband,249,1994,Multi-vehicle Collision,Side Collision,Major Damage,Police,NC,Columbus,7,3,YES,1,0,,88400,-46500,70510,12820,12820,44870,58.69,Suburu,Forrestor,1999,16,2015,1,3,0
195,39,OH,250/500,1000,1393.57,0,MALE,PhD,machine-op-inspct,not-in-family,6,2014,Parked Car,,Minor Damage,Police,VA,Northbend,5,1,NO,0,1,YES,47600,-39600,2640,480,480,1680,1.89,Ford,F150,2009,6,2015,2,1,0
22,26,OH,100/300,1000,1276.57,0,MALE,PhD,craft-repair,not-in-family,89,2007,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,NY,Arlington,3,1,YES,1,2,NO,71500,0,78900,15780,7890,55230,61.81,Chevrolet,Silverado,1995,20,2015,1,1,0
439,56,IN,250/500,500,1082.49,0,FEMALE,PhD,prof-specialty,unmarried,75,2008,Multi-vehicle Collision,Front Collision,Major Damage,Fire,SC,Columbus,12,3,,2,3,,36100,-55000,56430,0,6270,50160,52.13,Honda,CRV,2014,1,2015,2,3,0
94,32,IN,500/1000,1000,1414.74,0,FEMALE,Masters,adm-clerical,own-child,232,1995,Parked Car,,Minor Damage,None,VA,Riverwood,19,1,NO,1,3,NO,0,0,2400,300,300,1800,1.70,Chevrolet,Silverado,2014,1,2015,2,1,0
11,39,IL,250/500,2000,1470.06,0,MALE,PhD,other-service,husband,260,1993,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Riverwood,22,1,YES,0,1,NO,56600,-45800,65790,7310,7310,51170,44.75,Saab,93,2007,8,2015,1,4,0
151,36,OH,250/500,2000,870.63,0,FEMALE,MD,adm-clerical,own-child,119,2005,Multi-vehicle Collision,Side Collision,Minor Damage,Police,VA,Hillsdale,12,3,NO,1,1,NO,94800,-58500,62920,11440,5720,45760,72.27,Ford,Escape,2000,15,2015,1,1,0
154,34,IN,100/300,500,795.23,0,MALE,PhD,machine-op-inspct,other-relative,299,1990,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NY,Springfield,15,3,YES,2,1,,36900,0,69480,15440,0,54040,87.37,Nissan,Maxima,2014,1,2015,1,3,1
245,44,IL,500/1000,1000,1168.20,0,MALE,JD,handlers-cleaners,husband,257,1993,Multi-vehicle Collision,Side Collision,Total Loss,Other,OH,Springfield,23,3,NO,0,3,NO,69100,0,44280,7380,3690,33210,37.90,Honda,Accord,1997,18,2015,2,4,0
119,32,IL,500/1000,1000,993.51,0,MALE,High School,armed-forces,unmarried,7,2014,Single Vehicle Collision,Side Collision,Minor Damage,Other,WV,Hillsdale,12,1,NO,0,3,YES,0,-49500,56300,5630,11260,39410,56.67,BMW,M5,2011,4,2015,1,1,0
215,42,OH,500/1000,500,1848.81,0,MALE,JD,transport-moving,own-child,76,2008,Multi-vehicle Collision,Front Collision,Major Damage,Fire,WV,Northbend,20,3,YES,2,2,YES,0,-49000,68520,11420,5710,51390,37.06,Suburu,Legacy,2003,12,2015,2,3,1
295,42,OH,250/500,2000,1641.73,5000000,MALE,PhD,sales,not-in-family,93,2007,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,VA,Riverwood,16,3,NO,0,0,NO,62400,0,59130,6570,6570,45990,36.02,Ford,Escape,2006,9,2015,1,4,1
254,39,IN,100/300,500,1362.87,0,FEMALE,MD,exec-managerial,other-relative,254,1993,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,NY,Arlington,6,3,YES,2,2,NO,35700,0,82320,13720,6860,61740,60.40,Dodge,Neon,1995,20,2015,2,1,1
107,31,IN,250/500,500,1239.22,7000000,FEMALE,High School,tech-support,not-in-family,41,2011,Single Vehicle Collision,Side Collision,Minor Damage,Fire,SC,Springfield,12,1,YES,0,1,NO,43400,-91200,89700,13800,13800,62100,72.38,Audi,A5,2009,6,2015,1,1,1
478,64,OH,250/500,500,835.02,0,FEMALE,Associate,adm-clerical,unmarried,294,1990,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,WV,Hillsdale,17,3,NO,1,1,NO,59600,0,33930,0,3770,30160,40.63,BMW,X6,1998,17,2015,2,1,0
128,30,OH,100/300,1000,1061.33,0,MALE,MD,machine-op-inspct,own-child,251,1994,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,WV,Northbrook,8,1,NO,0,3,NO,43300,-66200,68530,12460,6230,49840,64.57,Audi,A5,1997,18,2015,1,3,0
338,49,IN,500/1000,1000,1279.08,0,MALE,MD,other-service,own-child,252,1994,Parked Car,,Minor Damage,None,NC,Riverwood,13,1,NO,0,1,,0,-51500,4300,860,860,2580,3.36,Ford,F150,2004,11,2015,2,1,0
271,42,OH,100/300,500,1105.49,0,FEMALE,Associate,prof-specialty,own-child,42,2011,Multi-vehicle Collision,Side Collision,Major Damage,Other,SC,Hillsdale,12,2,,2,3,,56200,-50000,68310,12420,6210,49680,61.79,Audi,A3,2003,12,2015,2,3,1
222,41,OH,100/300,2000,1055.53,0,FEMALE,MD,armed-forces,not-in-family,195,1998,Single Vehicle Collision,Front Collision,Total Loss,Other,WV,Northbrook,7,1,NO,0,2,NO,37800,-50300,61290,6810,6810,47670,58.07,Honda,Civic,1995,20,2015,2,4,1
199,41,OH,250/500,1000,895.83,0,FEMALE,Associate,sales,husband,230,1995,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,NC,Arlington,10,1,NO,1,2,NO,0,0,30100,3010,0,27090,33.60,Chevrolet,Malibu,1999,16,2015,2,1,0
215,37,IN,100/300,500,1632.93,0,FEMALE,College,transport-moving,not-in-family,146,2002,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,SC,Riverwood,7,3,NO,2,0,YES,0,-42900,57120,9520,4760,42840,34.98,Mercedes,C300,2002,13,2015,2,1,0
192,40,IL,100/300,1000,1405.99,0,FEMALE,Associate,sales,wife,131,2004,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,VA,Springfield,18,3,YES,1,0,YES,0,0,42930,9540,4770,28620,30.53,BMW,X6,2005,10,2015,3,1,0
120,35,OH,100/300,1000,1425.54,0,FEMALE,High School,transport-moving,other-relative,167,2001,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,SC,Riverwood,22,3,NO,2,0,NO,78300,0,51210,11380,5690,34140,35.92,Ford,Fusion,2010,5,2015,1,4,0
270,45,OH,500/1000,1000,1038.09,0,FEMALE,College,handlers-cleaners,husband,60,2010,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Springfield,18,3,NO,1,1,YES,0,-19700,89400,14900,7450,67050,86.12,Suburu,Legacy,1998,17,2015,1,1,0
319,47,IN,250/500,500,1307.11,0,MALE,College,transport-moving,not-in-family,274,1992,Multi-vehicle Collision,Front Collision,Total Loss,Police,WV,Northbrook,22,3,NO,0,2,,0,0,59730,10860,10860,38010,45.70,Audi,A3,2005,10,2015,2,4,0
194,39,OH,500/1000,1000,1489.24,6000000,FEMALE,JD,other-service,wife,56,2010,Vehicle Theft,,Minor Damage,None,SC,Springfield,15,1,YES,2,2,YES,0,-45000,8060,1240,1240,5580,5.41,Saab,95,2004,11,2015,1,1,0
227,38,OH,500/1000,500,976.67,0,FEMALE,PhD,handlers-cleaners,unmarried,15,2013,Single Vehicle Collision,Rear Collision,Major Damage,Fire,SC,Northbrook,16,1,,1,2,,0,0,72200,14440,7220,50540,73.92,BMW,M5,2013,2,2015,1,3,1
137,31,OH,250/500,2000,1340.43,0,MALE,High School,exec-managerial,husband,244,1994,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,NC,Arlington,6,3,NO,1,2,NO,52700,-40600,50800,10160,10160,30480,37.90,Accura,MDX,2005,10,2015,2,1,0
244,40,OH,500/1000,2000,1267.81,5000000,FEMALE,Masters,exec-managerial,wife,210,1997,Vehicle Theft,,Trivial Damage,None,NC,Northbrook,10,1,,2,1,,0,0,6600,660,1320,4620,5.21,Accura,TL,2005,10,2015,1,2,0
78,29,IL,250/500,1000,1234.20,6000000,MALE,Masters,other-service,other-relative,47,2011,Vehicle Theft,,Minor Damage,Police,NY,Northbrook,3,1,YES,2,2,NO,0,0,7500,750,1500,5250,6.08,Nissan,Maxima,2002,13,2015,1,1,0
200,35,IN,250/500,2000,1318.06,0,MALE,High School,exec-managerial,wife,245,1994,Vehicle Theft,,Trivial Damage,None,VA,Hillsdale,13,1,NO,0,3,YES,57300,-80600,6490,1180,1180,4130,4.92,Volkswagen,Jetta,2002,13,2015,1,2,0
284,48,IN,500/1000,2000,769.95,0,MALE,Masters,prof-specialty,not-in-family,212,1997,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,NY,Hillsdale,16,2,,2,3,NO,0,-44200,60940,5540,11080,44320,79.15,Audi,A3,2013,2,2015,1,3,1
275,41,OH,100/300,2000,1514.72,0,MALE,High School,transport-moving,own-child,220,1996,Multi-vehicle Collision,Front Collision,Major Damage,Fire,NY,Northbrook,13,3,YES,0,1,,35700,0,58300,5830,11660,40810,38.49,Suburu,Legacy,2007,8,2015,2,3,0
153,34,IL,500/1000,1000,873.64,4000000,FEMALE,Associate,priv-house-serv,husband,106,2006,Multi-vehicle Collision,Front Collision,Minor Damage,Other,SC,Columbus,9,3,NO,2,1,,800,0,68400,11400,11400,45600,78.29,Ford,F150,2007,8,2015,1,1,0
134,32,IL,500/1000,500,1612.43,0,FEMALE,MD,other-service,own-child,288,1991,Single Vehicle Collision,Side Collision,Total Loss,Fire,VA,Springfield,2,1,,2,1,YES,36400,0,64240,11680,11680,40880,39.84,BMW,3 Series,2015,0,2015,1,4,0
31,36,IL,500/1000,2000,1318.24,9000000,FEMALE,College,prof-specialty,not-in-family,185,1999,Parked Car,,Trivial Damage,None,WV,Arlington,9,1,NO,0,1,YES,0,-78600,4700,940,470,3290,3.57,Dodge,Neon,2002,13,2015,1,2,0
41,25,IN,100/300,1000,1226.83,0,FEMALE,College,exec-managerial,not-in-family,276,1992,Multi-vehicle Collision,Side Collision,Major Damage,Other,SC,Columbus,12,3,YES,2,0,,0,-56100,45120,0,5640,39480,36.78,Accura,MDX,2011,4,2015,1,3,1
127,29,OH,250/500,2000,1326.44,5000000,FEMALE,High School,sales,own-child,182,1999,Multi-vehicle Collision,Front Collision,Total Loss,Fire,SC,Arlington,12,2,YES,1,1,,0,0,66950,10300,10300,46350,50.47,Saab,93,1995,20,2015,2,4,0
61,23,IL,250/500,2000,1136.83,4000000,FEMALE,Associate,tech-support,own-child,260,1993,Single Vehicle Collision,Side Collision,Major Damage,Police,NY,Columbus,14,1,NO,0,3,,0,-62400,98340,8940,17880,71520,86.50,Honda,Accord,2004,11,2015,2,3,1
207,42,IL,250/500,2000,1322.78,0,MALE,PhD,farming-fishing,own-child,172,2000,Parked Car,,Trivial Damage,None,WV,Springfield,9,1,NO,0,1,NO,55200,0,5900,590,590,4720,4.46,BMW,X5,2007,8,2015,2,2,0
219,43,IN,100/300,1000,1483.25,0,FEMALE,MD,exec-managerial,not-in-family,50,2010,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NC,Riverwood,3,3,NO,1,1,,90700,-20800,70680,5890,11780,53010,47.65,Ford,Fusion,2009,6,2015,2,3,0
